"Sample Name"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Hybridization Assay Name"	"Array Design REF"	"Scan Name"	"Array Data File"	"Normalization Name"	"Derived Array Data File"	"Factor Value[limiting nutrient]"	"Term Source REF"	"Term Accession Number"	"Factor Value[rate]"	"Unit"	"Term Source REF"	"Term Accession Number"
"C-0.07-aliquot1"	"mRNA extraction"	"C-0.07-aliquot1"	"biotin labeling"	"C-0.07-aliquot1"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"EukGE-WS4"	"HYB:MEXP:3908"	"A-AFFY-27"	"SCAN:MEXP:3908"	"E-MEXP-115-raw-data-331217737.txt"	"GCRMA normalization"	"E-MEXP-115-processed-data-1341986893.txt"	"carbon"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_27594"	"0.07"	"l/hr"	""	""
"C-0.07-aliquot2"	"mRNA extraction"	"C-0.07-aliquot2"	"biotin labeling"	"C-0.07-aliquot2"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"EukGE-WS4"	"HYB:MEXP:3909"	"A-AFFY-27"	"SCAN:MEXP:3909"	"E-MEXP-115-raw-data-331217860.txt"	"GCRMA normalization"	"E-MEXP-115-processed-data-1341986893.txt"	"carbon"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_27594"	"0.07"	"l/hr"	""	""
"C-0.07-aliquot3"	"mRNA extraction"	"C-0.07-aliquot3"	"biotin labeling"	"C-0.07-aliquot3"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"EukGE-WS4"	"HYB:MEXP:3910"	"A-AFFY-27"	"SCAN:MEXP:3910"	"E-MEXP-115-raw-data-331217979.txt"	"GCRMA normalization"	"E-MEXP-115-processed-data-1341986893.txt"	"carbon"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_27594"	"0.07"	"l/hr"	""	""
"C-0.07-aliquot4"	"mRNA extraction"	"C-0.07-aliquot4"	"biotin labeling"	"C-0.07-aliquot4"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"EukGE-WS4"	"HYB:MEXP:3907"	"A-AFFY-27"	"SCAN:MEXP:3907"	"E-MEXP-115-raw-data-331217580.txt"	"GCRMA normalization"	"E-MEXP-115-processed-data-1341986893.txt"	"carbon"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_27594"	"0.07"	"l/hr"	""	""
"C-0.1-aliquot1"	"mRNA extraction"	"C-0.1-aliquot1"	"biotin labeling"	"C-0.1-aliquot1"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"EukGE-WS4"	"HYB:MEXP:3912"	"A-AFFY-27"	"SCAN:MEXP:3912"	"E-MEXP-115-raw-data-331218271.txt"	"GCRMA normalization"	"E-MEXP-115-processed-data-1341986893.txt"	"carbon"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_27594"	"0.1"	"l/hr"	""	""
"C-0.1-aliquot2"	"mRNA extraction"	"C-0.1-aliquot2"	"biotin labeling"	"C-0.1-aliquot2"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"EukGE-WS4"	"HYB:MEXP:3913"	"A-AFFY-27"	"SCAN:MEXP:3913"	"E-MEXP-115-raw-data-331218449.txt"	"GCRMA normalization"	"E-MEXP-115-processed-data-1341986893.txt"	"carbon"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_27594"	"0.1"	"l/hr"	""	""
"C-0.1-aliquot3"	"mRNA extraction"	"C-0.1-aliquot3"	"biotin labeling"	"C-0.1-aliquot3"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"EukGE-WS4"	"HYB:MEXP:3914"	"A-AFFY-27"	"SCAN:MEXP:3914"	"E-MEXP-115-raw-data-331218681.txt"	"GCRMA normalization"	"E-MEXP-115-processed-data-1341986893.txt"	"carbon"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_27594"	"0.1"	"l/hr"	""	""
"C-0.1-aliquot4"	"mRNA extraction"	"C-0.1-aliquot4"	"biotin labeling"	"C-0.1-aliquot4"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"EukGE-WS4"	"HYB:MEXP:3911"	"A-AFFY-27"	"SCAN:MEXP:3911"	"E-MEXP-115-raw-data-331218116.txt"	"GCRMA normalization"	"E-MEXP-115-processed-data-1341986893.txt"	"carbon"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_27594"	"0.1"	"l/hr"	""	""
"C-0.2-aliquot1"	"mRNA extraction"	"C-0.2-aliquot1"	"biotin labeling"	"C-0.2-aliquot1"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"EukGE-WS4"	"HYB:MEXP:3916"	"A-AFFY-27"	"SCAN:MEXP:3916"	"E-MEXP-115-raw-data-331219013.txt"	"GCRMA normalization"	"E-MEXP-115-processed-data-1341986893.txt"	"carbon"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_27594"	"0.2"	"l/hr"	""	""
"C-0.2-aliquot2"	"mRNA extraction"	"C-0.2-aliquot2"	"biotin labeling"	"C-0.2-aliquot2"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"EukGE-WS4"	"HYB:MEXP:3915"	"A-AFFY-27"	"SCAN:MEXP:3915"	"E-MEXP-115-raw-data-331218842.txt"	"GCRMA normalization"	"E-MEXP-115-processed-data-1341986893.txt"	"carbon"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_27594"	"0.2"	"l/hr"	""	""
